[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]]
NCCL version 2.21.5+cuda11.8
SIZE 8192, REAL_BD 1.452 GB/s, BD/PAIR 181.49 MB/s, time 0.0045 s, comm_vol 6.554 MB
SIZE 16384, REAL_BD 4.469 GB/s, BD/PAIR 558.604 MB/s, time 0.0029 s, comm_vol 13.107 MB
SIZE 24576, REAL_BD 8.903 GB/s, BD/PAIR 1.113 GB/s, time 0.0022 s, comm_vol 19.661 MB
SIZE 32768, REAL_BD 11.865 GB/s, BD/PAIR 1.483 GB/s, time 0.0022 s, comm_vol 26.214 MB
SIZE 40960, REAL_BD 17.62 GB/s, BD/PAIR 2.203 GB/s, time 0.0019 s, comm_vol 32.768 MB
SIZE 49152, REAL_BD 20.686 GB/s, BD/PAIR 2.586 GB/s, time 0.0019 s, comm_vol 39.322 MB
SIZE 57344, REAL_BD 24.218 GB/s, BD/PAIR 3.027 GB/s, time 0.0019 s, comm_vol 45.875 MB
SIZE 65536, REAL_BD 26.949 GB/s, BD/PAIR 3.369 GB/s, time 0.0019 s, comm_vol 52.429 MB
SIZE 81920, REAL_BD 27.715 GB/s, BD/PAIR 3.464 GB/s, time 0.0024 s, comm_vol 65.536 MB
SIZE 98304, REAL_BD 38.93 GB/s, BD/PAIR 4.866 GB/s, time 0.002 s, comm_vol 78.643 MB
SIZE 114688, REAL_BD 43.186 GB/s, BD/PAIR 5.398 GB/s, time 0.0021 s, comm_vol 91.75 MB
SIZE 131072, REAL_BD 48.576 GB/s, BD/PAIR 6.072 GB/s, time 0.0022 s, comm_vol 104.858 MB
SIZE 163840, REAL_BD 63.6 GB/s, BD/PAIR 7.95 GB/s, time 0.0021 s, comm_vol 131.072 MB
SIZE 196608, REAL_BD 70.913 GB/s, BD/PAIR 8.864 GB/s, time 0.0022 s, comm_vol 157.286 MB
SIZE 229376, REAL_BD 87.411 GB/s, BD/PAIR 10.926 GB/s, time 0.0021 s, comm_vol 183.501 MB
SIZE 262144, REAL_BD 97.184 GB/s, BD/PAIR 12.148 GB/s, time 0.0022 s, comm_vol 209.715 MB
SIZE 327680, REAL_BD 121.092 GB/s, BD/PAIR 15.136 GB/s, time 0.0022 s, comm_vol 262.144 MB
SIZE 393216, REAL_BD 146.001 GB/s, BD/PAIR 18.25 GB/s, time 0.0022 s, comm_vol 314.573 MB
