CP_FILE_NAME: all2all_4
HOST: nico4
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 4
PROC_NUM: 4
NODE_NUM: 1
NTASK_PER_NODE: 4
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,0]]
MIXED_P2P_NUM: 256
0000: time 0.445332 s, REAL_BD 11.227579 GB/s, SIZE 131072.000000 KB, max_BD: 11.227579 GB/s
1000: time 0.685722 s, REAL_BD 7.291585 GB/s, SIZE 131072.000000 KB, max_BD: 11.227579 GB/s
2000: time 0.432819 s, REAL_BD 11.552173 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
3000: time 0.456743 s, REAL_BD 10.947075 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
0100: time 1.082601 s, REAL_BD 4.618507 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
1100: time 1.837759 s, REAL_BD 2.720705 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
2100: time 1.037756 s, REAL_BD 4.818088 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
3100: time 0.876744 s, REAL_BD 5.702919 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
0200: time 0.575852 s, REAL_BD 8.682787 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
1200: time 0.661547 s, REAL_BD 7.558042 GB/s, SIZE 131072.000000 KB, max_BD: 11.552173 GB/s
2200: time 0.390912 s, REAL_BD 12.790602 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
3200: time 0.574687 s, REAL_BD 8.700388 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
0300: time 1.074350 s, REAL_BD 4.653977 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
1300: time 1.835167 s, REAL_BD 2.724548 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
2300: time 1.041594 s, REAL_BD 4.800335 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
3300: time 0.876833 s, REAL_BD 5.702340 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
0010: time 0.455710 s, REAL_BD 10.971890 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
1010: time 0.682625 s, REAL_BD 7.324666 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
2010: time 0.421325 s, REAL_BD 11.867323 GB/s, SIZE 131072.000000 KB, max_BD: 12.790602 GB/s
3010: time 0.383455 s, REAL_BD 13.039340 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
0110: time 1.073867 s, REAL_BD 4.656070 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
1110: time 1.828787 s, REAL_BD 2.734053 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
2110: time 1.033605 s, REAL_BD 4.837438 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
3110: time 0.866414 s, REAL_BD 5.770913 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
0210: time 0.478519 s, REAL_BD 10.448906 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
1210: time 0.666910 s, REAL_BD 7.497263 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
2210: time 0.406138 s, REAL_BD 12.311086 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
3210: time 0.479735 s, REAL_BD 10.422421 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
0310: time 1.069632 s, REAL_BD 4.674505 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
1310: time 1.829269 s, REAL_BD 2.733332 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
2310: time 1.038747 s, REAL_BD 4.813492 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
3310: time 0.868130 s, REAL_BD 5.759506 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
0020: time 0.442550 s, REAL_BD 11.298158 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
1020: time 0.682860 s, REAL_BD 7.322145 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
2020: time 0.421712 s, REAL_BD 11.856433 GB/s, SIZE 131072.000000 KB, max_BD: 13.039340 GB/s
3020: time 0.378658 s, REAL_BD 13.204528 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0120: time 0.944002 s, REAL_BD 5.296599 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
