make -C csrc
make[1]: Entering directory '/home/yhy/fold/comm_test/csrc'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/yhy/fold/comm_test/csrc'
GPU_NUM: 4
CUDA_VISIBLE_DEVICES: 
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
SC0: 0.001829 s, REAL_BD 0.001955 GB/s, SIZE 0.000001 GB, comm_vol 0.000004 GB
SC0: 0.005364 s, REAL_BD 0.001333 GB/s, SIZE 0.000002 GB, comm_vol 0.000007 GB
SC0: 0.001882 s, REAL_BD 0.007601 GB/s, SIZE 0.000004 GB, comm_vol 0.000014 GB
SC0: 0.007693 s, REAL_BD 0.003719 GB/s, SIZE 0.000008 GB, comm_vol 0.000029 GB
SC0: 0.002248 s, REAL_BD 0.025454 GB/s, SIZE 0.000015 GB, comm_vol 0.000057 GB
SC0: 0.007639 s, REAL_BD 0.014981 GB/s, SIZE 0.000031 GB, comm_vol 0.000114 GB
SC0: 0.003091 s, REAL_BD 0.074048 GB/s, SIZE 0.000061 GB, comm_vol 0.000229 GB
SC0: 0.007258 s, REAL_BD 0.063070 GB/s, SIZE 0.000122 GB, comm_vol 0.000458 GB
SC0: 0.003033 s, REAL_BD 0.301855 GB/s, SIZE 0.000244 GB, comm_vol 0.000916 GB
SC0: 0.003127 s, REAL_BD 0.585563 GB/s, SIZE 0.000488 GB, comm_vol 0.001831 GB
SC0: 0.003738 s, REAL_BD 0.979698 GB/s, SIZE 0.000977 GB, comm_vol 0.003662 GB
SC0: 0.004964 s, REAL_BD 1.475467 GB/s, SIZE 0.001953 GB, comm_vol 0.007324 GB
SC0: 0.006908 s, REAL_BD 2.120503 GB/s, SIZE 0.003906 GB, comm_vol 0.014648 GB
SC0: 0.010851 s, REAL_BD 2.699924 GB/s, SIZE 0.007812 GB, comm_vol 0.029297 GB
SC0: 0.024840 s, REAL_BD 2.358847 GB/s, SIZE 0.015625 GB, comm_vol 0.058594 GB
SC0: 0.043019 s, REAL_BD 2.724087 GB/s, SIZE 0.031250 GB, comm_vol 0.117188 GB
SC0: 0.094392 s, REAL_BD 2.482996 GB/s, SIZE 0.062500 GB, comm_vol 0.234375 GB
SC0: 0.155968 s, REAL_BD 3.005424 GB/s, SIZE 0.125000 GB, comm_vol 0.468750 GB
SC0: 0.309002 s, REAL_BD 3.033961 GB/s, SIZE 0.250000 GB, comm_vol 0.937500 GB
SC0: 0.603619 s, REAL_BD 3.106264 GB/s, SIZE 0.500000 GB, comm_vol 1.875000 GB
SC0: 1.204418 s, REAL_BD 3.113537 GB/s, SIZE 1.000000 GB, comm_vol 3.750000 GB
SC0: 2.395827 s, REAL_BD 3.130443 GB/s, SIZE 2.000000 GB, comm_vol 7.500000 GB
SC0: 4.792422 s, REAL_BD 3.129941 GB/s, SIZE 4.000000 GB, comm_vol 15.000000 GB
SC0: 9.579902 s, REAL_BD 3.131556 GB/s, SIZE 8.000000 GB, comm_vol 30.000000 GB
SC1: 0.000411 s, REAL_BD 0.008701 GB/s, SIZE 0.000001 GB, comm_vol 0.000004 GB
SC1: 0.000414 s, REAL_BD 0.017277 GB/s, SIZE 0.000002 GB, comm_vol 0.000007 GB
