CP_FILE_NAME: all2all_8
HOST: nico3
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NODE_NUM: 1
NTASK_PER_NODE: 8
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,0]]
MIXED_P2P_NUM: 6561
00000000: time 0.451785 s, REAL_BD 22.134422 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10000000: time 0.657220 s, REAL_BD 15.215605 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20000000: time 0.470003 s, REAL_BD 21.276460 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01000000: time 0.992834 s, REAL_BD 10.072177 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11000000: time 1.809987 s, REAL_BD 5.524902 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21000000: time 0.970346 s, REAL_BD 10.305602 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02000000: time 0.549271 s, REAL_BD 18.205949 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12000000: time 0.553656 s, REAL_BD 18.061757 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22000000: time 0.547709 s, REAL_BD 18.257871 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00100000: time 0.576224 s, REAL_BD 17.354362 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10100000: time 0.497673 s, REAL_BD 20.093515 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20100000: time 0.518647 s, REAL_BD 19.280937 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01100000: time 0.983543 s, REAL_BD 10.167324 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11100000: time 1.796454 s, REAL_BD 5.566522 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
